IDs,S,E,labels
7_131,1.1549,1.82685,0
7_132,1.1193,3.17134,0
7_133,1.092,3.10524,0
7_134,1.121,4.00079,0
7_135,1.1296,4.21639,0
7_136,1.1174,4.20235,0
7_137,1.102,1.32454,0
7_138,1.1257,4.48266,0
7_139,1.1112,4.22262,0
7_140,1.1261,1.44227,0
7_141,1.1306,4.78031,0
7_142,1.0851,1.12688,0
7_143,1.1339,4.84752,0
7_144,1.1277,1.75962,0
7_145,1.1332,1.86994,0
7_146,1.1373,4.16802,0
7_147,1.1465,4.39678,0
7_148,1.1157,1.45097,0
7_149,1.1336,4.37875,0
7_150,1.0458,0.926572,0
7_151,1.1425,4.67577,0
7_152,1.127,4.39215,0
7_153,1.0118,0.688102,0
7_154,1.035,1.18492,0
7_155,1.1432,5.93243,0
7_156,1.1432,5.93243,0
7_157,1.1432,5.93243,0
7_158,1.1432,5.93243,0
7_159,1.1432,5.93243,0
7_160,1.1433,1.9102,0
7_161,1.1479,4.99078,0
7_162,1.1491,2.02706,0
7_163,1.1514,5.0626,0
7_164,1.1645,2.37453,0
7_165,1.1645,2.37453,0
7_166,1.1177,1.95997,0
7_167,1.1177,1.95997,0
7_168,1.1618,6.21265,0
7_169,1.1618,6.21265,0
7_170,1.1618,6.21265,0
7_171,1.1618,6.21265,0
7_172,1.1618,6.21265,0
7_173,0.96604,0.606365,0
7_174,1.1676,2.13291,0
7_175,1.1676,2.13291,0
7_176,1.0604,2.1064,0
7_177,1.0604,2.1064,0
7_178,1.0738,1.61354,0
7_179,1.0738,1.61354,0
7_180,1.0892,1.19353,0
7_181,1.0486,0.92067,0
7_182,1.1232,1.58933,0
7_183,1.215,3.25561,0
7_184,1.215,3.25561,0
7_185,1.215,3.25561,0
7_186,1.215,3.25561,0
7_187,0.95517,0.777632,0
7_188,1.034,1.33054,0
7_189,1.0785,1.01873,0
7_190,1.1033,1.39095,0
7_191,1.0604,1.09767,0
7_192,1.1552,2.07323,0
7_193,1.1619,2.19971,0
7_194,1.0575,1.76952,0
7_195,1.0624,1.87984,0
7_196,0.99491,0.834892,0
7_197,1.093,1.05574,0
7_198,1.128,2.4807,0
7_199,1.0795,2.08013,0
7_200,1.004,1.00772,0
7_201,1.1268,1.89461,0
7_202,1.1268,1.89461,0
7_203,1.0227,2.60805,0
7_204,1.1653,2.54133,0
7_205,1.1653,2.54133,0
7_206,1.1126,1.97581,0
7_207,1.1126,1.97581,0
7_208,1.1376,3.30569,0
7_209,1.1376,3.30569,0
7_210,1.0868,2.81793,0
7_211,1.0868,2.81793,0
7_212,1.0274,3.34424,0
7_213,1.0274,3.34424,0
7_214,1.2037,3.16821,0
7_215,1.2037,3.16821,0
7_216,1.1443,2.11979,0
7_217,1.1443,2.11979,0
7_218,1.2118,3.33123,0
7_219,1.2118,3.33123,0
