IDs,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,Feature_15,Feature_16,Feature_17,Feature_18,Feature_19,Feature_20,Feature_21,Feature_22,Feature_23,Feature_24,Feature_25,Feature_26,Feature_27,Feature_28,Feature_29,Feature_30,Feature_31,S,E,labels
8_7748,0,0,0,0,0,0,0,0,0,8,2,4,2.66666667,0.94280904,0.88888889,5,16,0.23549337,4.7831096,2.28571429,1.48461498,2.20408163,1,16,0.23549337,4.7831096,2.28571429,1.48461498,2.20408163,1,0.375,0.96275,2.70563,1
8_7922,0,0,0,0,0,0,0,0,0,8,0.58578644,3.41421356,2,1,1,4,12,0.26794919,3.73205081,2,1.15470054,1.33333333,2,14,0.15224093,3.84775907,2,1.30930734,1.71428571,1,0.5,0.82743,7.2401,1
8_7933,0,0,0,0,0,0,0,0,0,8,0.38196601,3.61803399,2,1.22474487,1.5,4,14,0.62279715,4.65109341,2.33333333,1.49071198,2.22222222,2,16,0.35474129,4.7110186,2.28571429,1.48461498,2.20408163,1,0.25,0.81625,7.71699,1
8_8221,0,0,0,0,0,0,0,0,0,6,3,3,3,0,0,6,16,0.21368227,4.47634658,2.28571429,1.48461498,2.20408163,1,16,0.21368227,4.47634658,2.28571429,1.48461498,2.20408163,1,0.25,1.0416,3.34913,1
8_8230,0,0,0,0,0,0,0,0,0,8,2,3,2.66666667,0.47140452,0.22222222,5,16,0.16671701,4.23320954,2.28571429,1.38505139,1.91836735,1,16,0.16671701,4.23320954,2.28571429,1.38505139,1.91836735,1,0.375,0.99405,6.01141,1
8_12185,0,0,0,0,0,0,0,0,0,14,0.15224093,3.84775907,2,1.30930734,1.71428571,1,14,0.15224093,3.84775907,2,1.30930734,1.71428571,1,14,0.15224093,3.84775907,2,1.30930734,1.71428571,1,1,1.065,9.53683,1
8_14143,0,0,0,0,0,0,0,0,0,14,0.76393202,5.23606798,2.8,1.46969385,2.16,3,18,0.31866936,5.32340428,2.57142857,1.59078982,2.53061224,1,18,0.31866936,5.32340428,2.57142857,1.59078982,2.53061224,1,0.5,0.89002,6.54559,1
9_3051,0,0,0,0,0,0,0,0,0,14,2,4,2.8,0.74833148,0.56,4,20,0.22899644,4.93448196,2.5,1.58113883,2.5,1,20,0.22899644,4.93448196,2.5,1.58113883,2.5,1,0.44444444,0.95824,4.31993,1
9_3854,0,0,0,0,0,0,0,0,0,12,3,3,3,0,0,5,20,0.23809853,4.76190147,2.5,1.6583124,2.75,1,20,0.23809853,4.76190147,2.5,1.6583124,2.75,1,0.33333333,1.1331,5.02508,1
9_4495,0,0,0,0,0,0,0,0,0,12,0.58578644,3.41421356,2.4,1.0198039,1.04,4,18,0.21666115,4.85898328,2.25,1.63935963,2.6875,1,18,0.21666115,4.85898328,2.25,1.63935963,2.6875,1,0.55555556,1.1724,6.27178,1
9_18405,0,0,0,0,0,0,0,0,0,12,1,5,3,1.41421356,2,5,20,0.20738282,5.21282041,2.5,1.6583124,2.75,1,20,0.20738282,5.21282041,2.5,1.6583124,2.75,1,0.33333333,0.98606,14.4394,1
9_19203,0,0,0,0,0,0,0,0,0,12,1,5,3,1.41421356,2,5,22,0.21129965,5.32450069,2.75,1.63935963,2.6875,1,22,0.21129965,5.32450069,2.75,1.63935963,2.6875,1,0.11111111,0.87621,19.1619,1
9_20559,0,0,0,0,0,0,0,0,0,8,2,3,2.66666667,0.47140452,0.22222222,6,18,0.1288751,4.2349932,2.25,1.39194109,1.9375,1,18,0.1288751,4.2349932,2.25,1.39194109,1.9375,1,0.33333333,0.95741,13.6968,1
